endTime,artistName,trackName,msPlayed
2023-06-24 19:06,Jax,Victoria's Secret,176124
2023-06-24 19:10,Ed Sheeran,Shivers,207853
2023-06-24 19:13,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840
2023-06-24 19:16,Camila Cabello,Bam Bam (feat. Ed Sheeran),170407
2023-06-24 19:19,Kygo,Woke Up in Love,216873
2023-06-24 19:22,Alesso,When I’m Gone (with Katy Perry),161266
2023-06-24 19:25,Lizzo,About Damn Time,189679
2023-06-24 19:27,Miley Cyrus,Flowers,100090
2023-06-24 19:27,OneRepublic,Sunshine,2130
2023-06-24 19:27,Dua Lipa,Love Again,25720
2023-06-24 19:30,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",139770
2023-06-24 19:33,Dua Lipa,Dance The Night - From Barbie The Album,176579
2023-06-24 19:36,The Weeknd,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),215466
2023-06-24 19:37,SZA,Kill Bill,15420
2023-06-24 19:37,Bad Bunny,WHERE SHE GOES,32093
2023-06-24 19:41,Rema,Calm Down (with Selena Gomez),239317
2023-06-24 19:44,Ed Sheeran,Eyes Closed,194848
2023-06-24 19:46,d4vd,Here With Me,107153
2023-06-24 19:48,Imagine Dragons,Bones,148760
2023-06-24 19:49,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),10990
2023-06-24 19:50,Sade,Smooth Operator - Single Version,12380
2023-06-24 19:50,Ruth B.,Dandelions,61940
2023-06-24 19:58,Chitra,Nuvvasthanante,332578
2023-06-24 20:03,S.P. Charan,Mellaga,319993
2023-06-24 20:05,Tippu,Langa Voni,128102
2023-06-24 20:08,Adnan Sami,Nachave Nizam Pori,156366
2023-06-24 20:21,A.R. Rahman,Mental Madhilo,186658
2023-06-25 02:11,Jain,Makeba,66360
2023-06-25 02:14,Imagine Dragons,Believer,204346
2023-06-25 02:16,Imagine Dragons,Thunder,64663
2023-06-25 02:19,A.R. Rahman,Mental Madhilo,145280
2023-06-25 02:23,Shawn Mendes,Señorita,34274
2023-06-25 02:27,Kalpana,Musugu Veyyoddu,3429
2023-06-25 02:27,S. P. Balasubrahmanyam,Nee Prashnalu,265168
2023-06-25 02:28,S. P. Balasubrahmanyam,"Chiluka Kshemama (From ""Rowdy Alludu"")",60602
2023-06-25 02:30,Venu,Gundello Emundho,61171
2023-06-25 02:32,Marshmello,American Psycho (with Mae Muller feat. Trippie Redd),153195
2023-06-25 02:35,Rosa Linn,SNAP,179551
2023-06-25 02:37,OneRepublic,I Ain’t Worried - Acoustic,111989
2023-06-25 02:39,Charlie Puth,Light Switch,133865
2023-06-25 02:41,Manu Pilas,Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,988
2023-06-25 02:41,Mae Stephens,If We Ever Broke Up,133682
2023-06-25 02:42,The Strumbellas,Spirits,4737
2023-06-25 02:42,Ed Sheeran,Shape of You,603
2023-06-25 02:42,Selena Gomez,Wolves,0
2023-06-25 02:42,Otilia,Bilionera - Radio Edit,404
2023-06-25 02:42,Jain,Makeba,0
2023-06-25 02:43,The Chainsmokers,Closer,1152
2023-06-25 02:43,Billie Eilish,lovely (with Khalid),524
2023-06-25 02:43,The Kid LAROI,STAY (with Justin Bieber),1941
2023-06-25 02:43,AJR,World's Smallest Violin,7351
2023-06-25 02:43,EQRIC,Stereo Hearts,782
2023-06-25 02:43,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,5258
2023-06-25 02:43,Oliver Tree,Life Goes On,49000
2023-06-25 02:43,Nicky Youre,Sunroof,1510
2023-06-25 02:43,Imagine Dragons,Thunder,0
2023-06-25 02:43,James TW,When You Love Someone,1323
2023-06-25 02:43,Harry Styles,Watermelon Sugar,1270
2023-06-25 02:43,Anne-Marie,Beautiful,1626
2023-06-25 02:45,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",103491
2023-06-25 02:46,Ajay-Atul,Priya Mithunam (Telugu),11320
2023-06-25 02:46,Ajay-Atul,Jai Shri Ram,64128
2023-06-25 02:49,"Sagar, Haripriya",Andamaina Lokam,178183
2023-06-25 03:05,Ramayanam,2 Balakanda episode 2,690320
