endTime,artistName,trackName,msPlayed
2022-09-17 15:28,Devi Sri Prasad,Daakko Daakko Meka,248344
2022-09-18 07:54,Shreya Ghoshal,Preminche Premava,354368
2022-09-18 07:59,Swarnalatha,Erruvaaka,2512
2022-09-18 07:59,Hariharan,Kuchi Kuchi Konamma - Bombay / Soundtrack Version,306293
2022-09-18 07:59,Sonu Nigam,Raave Na Cheliya,12277
2022-09-18 07:59,S. P. Balasubrahmanyam,Andamaina Premarani,7974
2022-09-18 08:04,Naveen,Kailove Chedugudu,278306
2022-09-18 08:10,K. S. Chithra,Kannanule - Bombay / Soundtrack Version,355586
2022-09-18 08:15,Mano,Mukkala Mukkabala,317440
2022-09-18 08:18,Hariharan,Pachchadanamey,175717
2022-09-18 08:19,A.R. Rahman,Chikubuku,37507
2022-09-18 08:19,Harris Jayaraj,Oh! Shanthi Shanthi,1517
2022-09-18 08:24,Krish,Neevalle Nevalle,2760
2022-09-18 08:24,Yuvan Shankar Raja,Nee Yadalo Naaku,6306
2022-09-18 08:24,Harris Jayaraj,Monna Kanipinchavu,332013
2022-09-18 08:31,KK,Hello Doctor,374987
2022-09-18 08:36,Shankar Mahadevan,Uttimeedha Koodu,341626
2022-09-18 08:42,Unni Menon,Vaalu Kanuladaanaa,349880
2022-09-18 08:48,A.R. Rahman,Urvashi Urvashi,341289
2022-09-18 08:48,S. P. Balasubrahmanyam,Singarala,1105
2022-09-18 08:48,A.R. Rahman,Kotta Bangaru Lokam,4742
2022-09-18 08:48,Suraj Jagan,Give Me Some Sunshine,1988
2022-09-18 08:52,Suraj Jagan,Give Me Some Sunshine,247346
2022-09-18 08:58,S. P. Balasubrahmanyam,Singarala,328438
2022-09-18 09:04,S. P. Balasubrahmanyam,Chilakamma,265837
2022-09-18 09:07,BTS,Dynamite,199053
2022-09-18 09:10,BTS,Butter,164952
2022-09-18 09:21,BTS,Permission to Dance,32833
2022-09-18 11:02,Thaman S,Thaar Maar Thakkar Maar,26540
2022-09-18 11:02,Lipsika,Ra Ra Reddy I Am Ready,260000
2022-09-18 11:07,A.R. Rahman,"Adheeraa (From ""Cobra"")",259139
2022-09-18 11:19,Anirudh Ravichander,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",115565
2022-09-18 12:04,Harris Jayaraj,Amma Amma,214240
2022-09-18 13:09,Vijay Prakash,Asku Laska Emo Emo,380656
2022-09-18 13:10,Ramakrishnan Murthy,Nee Vupuri Nee Sothama,52957
2022-09-18 13:15,Hemachandra Vedala,Heartu Lo Battery,335046
2022-09-18 13:20,Vijay Prakash,Ilena Chitti Belliana,309394
2022-09-18 13:23,Aalaap Raju,Toli Adugaina Padalede,127947
2022-09-18 14:07,Krish,Manna Friendalla,57314
2022-09-19 02:17,Kala Bhairava,The Flute Of Srikrishna,47677
2022-09-19 02:18,Kala Bhairava,Presenting Karthikeya 2,22874
2022-09-19 02:19,Kala Bhairava,Doctor Karthikeya,8093
2022-09-19 02:19,Kala Bhairava,Karthikeya Intro,62181
2022-09-19 02:21,Kala Bhairava,Krishnam Vande Jagadgurum,156000
2022-09-19 02:21,Kala Bhairava,The Quest Begins,8026
2022-09-19 02:28,Harris Jayaraj,Endukanta Joda,6650
2022-09-19 02:28,Harris Jayaraj,Amma Amma,5224
2022-09-19 02:28,Harris Jayaraj,Amma Amma,365826
2022-09-19 02:32,Harris Jayaraj,Mutyala Dhaarani,208400
2022-09-19 02:39,Vijay Prakash,Hello Rammante,23
2022-09-19 02:39,Harris Jayaraj,Naaloney Pongaynu,1208
2022-09-19 02:39,"Chiranjeevi, K.K",Chaila Chaila,332255
2022-09-19 02:39,Devi Sri Prasad,Mr. Perfect,807
2022-09-19 02:39,Siddharth,Oy..Oy..,1396
2022-09-19 02:39,G. V. Prakash,Neeve,951
2022-09-19 02:39,Karunya,Ola Olaala Ala,1464
2022-09-19 02:44,A.R. Rahman,Ee Hridayam,23
2022-09-19 02:44,Karthik,Oka Maaru,23
2022-09-19 02:44,Harris Jayaraj,Naaloney Pongaynu,5873
2022-09-19 02:44,Devi Sri Prasad,Mr. Perfect,277320
2022-09-19 02:44,Mani Sharma,Pileche,800
2022-09-19 02:44,Naresh Iyer,Nenu Nuvvantu,983
2022-09-19 02:44,"Ranjith, Suchitra",Dole Dole,598
2022-09-19 03:23,"Ranjith, Suchitra",Dole Dole,152440
2022-09-19 03:35,Kala Bhairava,The Flute Of Srikrishna,84828
2022-09-19 03:37,Anirudh Ravichander,Wasted,2072
