endTime,artistName,trackName,msPlayed
2023-09-13 02:12,M. M. Keeravani,Constitutional Advice,64574
2023-09-13 02:13,M. M. Keeravani,War And Passion,64921
2023-09-13 02:17,M. M. Keeravani,My Faith My Mentor,236520
2023-09-13 02:20,Anirudh Ravichander,"Bloody Sweet (From ""Leo"")",168540
2023-09-13 02:21,Hiphop Tamizha,Sakkarakatti,9273
2023-09-13 02:21,Anirudh Ravichander,Thangamey,29825
2023-09-13 02:25,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",230092
2023-09-13 02:35,Anirudh Ravichander,Hukum - Thalaivar Alappara,2687
2023-09-13 02:54,Sachet Tandon,Malang Sajna,3174
2023-09-13 02:54,Anirudh Ravichander,Hukum - Thalaivar Alappara,205005
2023-09-13 02:55,Haricharan,Saripovu,2187
2023-09-13 02:56,Tippu,Nanne Nanne,86261
2023-09-13 02:56,Deepu,Naa Chore,18
2023-09-13 02:56,Vijay Prakash,Hello Rammante,18
2023-09-13 02:56,G. V. Prakash,Neeve,737
2023-09-13 02:56,"Shankar Mahadevan, Shreya Ghoshal",Eyi Raja,18
2023-09-13 02:56,Kiran,Flute Music Bit,18
2023-09-13 02:56,Chakri,Venello Hai,18
2023-09-13 02:56,Yuvan Shankar Raja,Arere Vaanaa,0
2023-09-13 02:56,"Amit Trivedi, Shashaa Tirupati, Yazin Nizar",Manasu Maree,596
2023-09-13 02:56,Karunya,Vayyarala,18
2023-09-13 02:58,Deepu,Naa Chore,74003
2023-09-13 02:58,Michael Jackson,Off the Wall,27970
2023-09-13 03:00,Michael Jackson,Beat It,88138
2023-09-13 03:01,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,69366
2023-09-13 03:02,Anirudh Ravichander,"Master the Blaster (From ""Master"")",92250
2023-09-13 03:02,Anirudh Ravichander,Thangamey,4090
2023-09-13 03:15,Anirudh Ravichander,JD Intro - Background Score,54520
2023-09-13 04:26,Anirudh Ravichander,"Master the Blaster (From ""Master"")",92250
2023-09-13 04:27,Sam C.S.,Dilli_s Swag,376
2023-09-13 04:27,Anirudh Ravichander,Thangamey,62106
2023-09-13 04:28,Sivam,Karuppu Vellai,578
2023-09-13 04:28,"Ranjith, Kalpana",Ninne Pelladu,1805
2023-09-13 04:41,KK,My Heart is Beating,228978
2023-09-13 06:08,KK,My Heart is Beating,69660
2023-09-13 06:15,Shreya Ghoshal,Chali Chaliga,275639
2023-09-13 06:20,Mallikarjun,Nuvvu Naku Manasisthe,299598
2023-09-13 06:24,Vijay Yesudas,Nee Kanti Choopullo,244622
2023-09-13 06:28,"Karthik, Shwetha Mohan",Dil Se,261728
2023-09-13 06:33,Devi Sri Prasad,Yentha Sakkagunnave,262122
