endTime,artistName,trackName,msPlayed
2022-12-28 13:20,Raghu Kunche,Disturb Chethannade,9441
2022-12-28 13:23,"Raghu Dixit, Sooraj Santhosh, Rita",Chal Chalo Chalo,202
2022-12-28 13:23,"Raghu Dixit, Sooraj Santhosh, Rita",Chal Chalo Chalo,2205
2022-12-28 13:23,Sony,Hamsa Naava,1123
2022-12-28 13:23,N.T. Rama Rao Jr,Rakaasi Rakaasi,465
2022-12-28 13:23,"Raja Hasan, Anoop Rubens, Sravani",Chinnadhana,498
2022-12-28 13:23,"Karthik, Suchitra",Nijamena,1620
2022-12-28 13:23,Karunya,Vayyarala,1201
2022-12-28 13:23,"Suchith Suresan, Priya Hemesh",Julai,202005
2022-12-28 13:23,Raja Hasan,Chinnadana Neekosam,145
2022-12-28 13:34,Raja Hasan,Chinnadana Neekosam,38521
2022-12-28 17:45,MM Sreelekha,Urike Urike,221930
2022-12-28 17:50,Hesham Abdul Wahab,Darshana,225116
2022-12-28 17:50,Anirudh Ravichander,Rolex Theme - Background Score,1423
2022-12-28 17:54,Sid Sriram,"Naa Kosam (From ""Bangarraju"")",257142
2022-12-28 17:55,Anirudh Ravichander,"Master the Blaster (From ""Master"")",92250
2022-12-28 17:56,Yuvan Shankar Raja,Voice Of Unity,5367
2022-12-28 18:00,Anirudh Ravichander,Bhavani Theme - Background Score,280
2022-12-28 18:00,Siddharth,Appudo Ippudo,110
2022-12-28 18:00,Ujjayinee Roy,Oosaravelli,630
2022-12-28 18:00,Pritam,Kalank (Title Track),420
2022-12-28 18:00,Arijit Singh,Phir Kabhi,2630
2022-12-28 18:00,Anirudh Ravichander,Wasted,80
2022-12-28 18:00,Yuvan Shankar Raja,Maanaadu Theme,340
2022-12-28 18:00,Vijay Prakash,"Raamam Raaghavam (From ""Rrr"")",460
2022-12-28 18:00,Anirudh Ravichander,Kaththi - Theme,430
2022-12-28 18:00,Sid Sriram,Naa Kanulu Yepudu,208050
2022-12-28 18:01,Sam C.S.,Dilli_s Swag,50000
2022-12-28 18:05,Jasleen Royal,"Ranjha (From ""Shershaah"")",228855
2022-12-28 18:14,Anirudh Ravichander,Pablo Sandhanam - Background Score,45055
2022-12-28 18:14,Arijit Singh,"Mast Magan (From ""2 States"")",280161
2022-12-28 18:15,John Stewart Eduri,Mirzapur Theme Song,637
2022-12-28 18:19,Karthik,Ale Ale,280930
2022-12-28 18:24,Anurag Kulkarni,Asha Pasham,260000
2022-12-28 18:24,Anirudh Ravichander,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",9740
2022-12-28 18:24,Sagar,Neeti Mullai (Bit),590
2022-12-28 18:28,Pritam,Kabira,223459
2022-12-28 18:29,BTS,Butter,84990
2022-12-28 18:32,Anirudh Ravichander,Kannuladha - The Kiss of Love,206253
2022-12-28 18:34,Ghibran,Saaho - Theme,66836
