endTime,artistName,trackName,msPlayed
2023-03-11 04:26,Arijit Singh,Ve Maahi,1090
2023-03-11 04:26,Darshan Raval,"Chogada (From ""Loveyatri"")",320
2023-03-11 04:26,Ranveer Singh,Apna Time Aayega,480
2023-03-11 04:26,Sunidhi Chauhan,Kashmir Main Tu Kanyakumari,40
2023-03-11 04:26,Arijit Singh,Zaalima,580
2023-03-11 04:26,Meet Bros.,"Befikra (From ""Befikra"")",340
2023-03-11 04:26,Dhvani Bhanushali,Vaaste,1140
2023-03-11 04:31,Ajay-Atul,Abhi Mujh Mein Kahin,18116
2023-03-11 04:31,Arijit Singh,Zaalima,299333
2023-03-11 04:35,Amit Trivedi,Naina Da Kya Kasoor,210951
2023-03-11 04:41,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",341054
2023-03-11 04:46,Vishal-Shekhar,Bahara,325706
2023-03-11 04:52,Abhay Jodhpurkar,"Mere Naam Tu (From ""Zero"")",338593
2023-03-11 04:57,Arijit Singh,Pal Pal Dil Ke Paas- Title Track,187773
2023-03-11 04:57,Rashid Ali,Kabhi Kabhi Aditi,2130
2023-03-11 05:30,Shae Gill,Pasoori,1060
2023-03-11 05:30,Shafqat Amanat Ali,Dildaara (Stand By Me),209510
2023-03-11 05:30,Yo Yo Honey Singh,Dheere Dheere,610
2023-03-11 05:30,Pritam,Hum Nashe Mein Toh Nahin,730
2023-03-11 05:30,Arijit Singh,"Tum Hi Ho (From ""Aashiqui 2"")",1670
2023-03-11 05:30,OAFF,Doobey,510
2023-03-11 05:30,Pritam,Haan Main Galat,960
2023-03-11 05:30,Pritam,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",660
2023-03-11 05:30,Shreya Ghoshal,"Manwa Laage (From ""Happy New Year"")",1510
2023-03-11 05:30,Ankit Tiwari,Sunn Raha Hai,480
2023-03-11 05:30,Ankit Tiwari,"Galliyan (From ""Ek Villain"")",320
2023-03-11 05:30,Pritam,Bhool Bhulaiyaa 2 Title Track,590
2023-03-11 05:30,Roop Kumar Rathod,Tujh Mein Rab Dikhta Hai,640
2023-03-11 05:30,Benny Dayal,Daaru Desi,660
2023-03-11 05:30,Suraj Jagan,Give Me Some Sunshine,1360
2023-03-11 11:00,Pritam,Mere Dholna (Arijit Version),46820
2023-03-11 11:05,G. V. Prakash,Neeve,281520
2023-03-11 11:10,Sanjay Leela Bhansali,Meri Jaan,238103
2023-03-11 11:17,A.R. Rahman,Dil Se Re,405706
2023-03-11 11:23,Shreya Ghoshal,Sunn Raha Hai,1120
2023-03-11 11:23,Sukhwinder Singh,Chaiyya Chaiyya,361839
2023-03-11 11:23,Priya Saraiya,Sun Saathiya,1020
2023-03-11 11:23,Pritam,Kesariya,1230
2023-03-11 11:23,Lata Mangeshkar,Jiya Jale,510
2023-03-11 11:23,Sachet Tandon,"Bekhayali (From ""Kabir Singh"")",1180
2023-03-11 11:23,Amit Trivedi,Namo Namo,1040
2023-03-11 11:23,Atif Aslam,Dil Diyan Gallan,1140
2023-03-11 11:23,Mohit Chauhan,Saadda Haq,1150
2023-03-11 11:23,Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",1390
2023-03-11 11:26,Sachet Tandon,"Psycho Saiyaan (From ""Saaho"")",166461
2023-03-11 11:30,Vishal-Shekhar,Jag Ghoomeya,210208
2023-03-11 14:17,Mallikarjun,Rama Rama,317132
2023-03-11 14:20,Ujjayinee Roy,Oosaravelli,149982
2023-03-11 14:26,S. P. Balasubrahmanyam,Jilibili Palukula,272275
2023-03-12 03:19,S. P. Balasubrahmanyam,Ee Yogamanukomu,0
2023-03-12 03:19,S. P. Balasubrahmanyam,Nammaku Nammaku,1390
2023-03-12 03:19,S. P. Balasubrahmanyam,Thika Maka,0
2023-03-12 03:19,"Chitra, Kalpana",Slokam,0
2023-03-12 03:19,"Tippu, Shreya Ghoshal",Avayi Tuvvayi,1150
2023-03-12 03:19,Shreya Ghoshal,Poola Megha,590
2023-03-12 03:19,S. P. Balasubrahmanyam,Induvadana,198609
2023-03-12 03:23,Hariharan,Reppalapai,222467
2023-03-12 15:15,Annamayya Keerthana,Antharyami,208242
2023-03-12 15:29,M.L.R. Karthikeyan,Sooridu Sooridu,0
2023-03-12 15:29,Suchith Sureshan,Singam Dance,2974
2023-03-12 15:29,Devi Sri Prasad,Simham Simham,220403
2023-03-12 15:29,Shweta Mohan,Teliyadule,0
2023-03-12 15:45,M.L.R. Karthikeyan,Sooridu Sooridu,205840
2023-03-12 15:49,Anirudh Ravichander,Vikram - Title Track,218823
2023-03-12 15:51,Anirudh Ravichander,Wasted,165827
2023-03-12 15:54,Anirudh Ravichander,Porkanda Singam,187900
2023-03-12 15:57,Anirudh Ravichander,Once Upon a Time,143709
2023-03-12 15:58,Mercy,Bhaag,930
2023-03-12 15:58,Anirudh Ravichander,JD Intro - Background Score,0
2023-03-12 15:58,Leon James,Gundellonaa,1900
2023-03-12 15:58,Sam C.S.,Dilli_s Swag,50000
2023-03-12 16:00,Mercy,Bhaag,129180
2023-03-12 16:00,Sri Krishna,Sulthana,1110
2023-03-12 16:00,Leon James,Gundellonaa,950
